stop_name,stop_id,stop_lat,stop_lon
Marasandra Circle,2m0,13.22269,77.54963
Marasandra Circle,5od,13.22281,77.54973
Marasandra Gate,26e,13.22273,77.54935
Marasandra Gate,32j,12.98431,77.87375
Marasandra Gate,3vq,12.98446,77.87381
Marasandra Govt School,4qv,13.23113,77.55027
Marasandra Govt School,a8,13.23098,77.55013
Marasur Gate,17u,12.76983,77.70145
Marasur Madivala,1tj,12.77344,77.72852
Marasur Madivala,4a,12.76156,77.7231
Marasur Madivala,uq,12.76174,77.72307
Marathahalli,1bc,12.95611,77.69372
Marathahalli,1kl,12.95626,77.69409
Marathahalli Bridge,1f8,12.9569,77.70215
Marathahalli Bridge,1vr,12.95488,77.70053
Marathahalli Bridge,237,12.95694,77.70062
Marathahalli Bridge,2hw,12.95715,77.70096
Marathahalli Bridge,3u6,12.95671,77.70131
Marenahalli,1s,12.96993,77.53215
Marenahalli,28m,12.97325,77.36164
Marenahalli,2va,12.9733,77.36187
Marenahalli,41u,13.11958,77.67866
Marenahalli,4f4,12.9149,77.58588
Marenahalli,4jr,13.11959,77.67868
Marenahalli,5ev,12.96983,77.53228
Marenahalli,gz,12.91552,77.58575
Marenahalli (Marenahalli Metro Station),1w4,12.91688,77.58858
Marenahalli (Marenahalli Metro Station),5w4,12.91702,77.5894
Marenahalli Bande,qx,13.11026,77.68077
Marenahalli Gate,1f1,13.13318,77.67031
Marenahalli Gate,3w4,13.13315,77.67029
Marigowdanapalya,5yp,13.04168,77.31512
Marigowdanapalya,gp,13.04172,77.31507
Marison Factory,22i,13.05049,77.49285
Marison Factory,hh,13.0502,77.49252
Mariyannanapalya,3tm,13.04928,77.61186
Mariyannanapalya,4e6,13.04932,77.61187
Mariyappanapalya,1p4,12.94527,77.4954
Mariyappanapalya,4cm,12.99862,77.55652
Mariyappanapalya,m3,12.99858,77.55574
Mariyappanapalya,xs,12.94515,77.49545
